author,user_profile_link,text,timestamp,likes,date,time
ام فداء تجور,https://web.facebook.com/profile.php?id=100023352067537&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjA2NjA5NTg4MDY4OTg4&__tn__=R-R,يارب السلامه للجميع انشالله,Saturday 9 September 2023 at 09:46,12,09 September 2023,09:46
Anass Jammam,https://web.facebook.com/brahim.alami.182?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzU3NzA3NjczMjYxMjU5Mw%3D%3D&__tn__=R-R,Fes,Friday 8 September 2023 at 23:38,0,08 September 2023,23:38
Pärlë Blõnchę,https://web.facebook.com/parle.blonche.370?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzM3NTc3MjAyMDUzMDQ3&__tn__=R-R,ربي يستركم ان شاء الله,Saturday 9 September 2023 at 15:30,10,09 September 2023,15:30
Firdaouss Ch,https://web.facebook.com/firdaouss.cherkaoui?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTAxODQ0OTQxOTMzODQxNA%3D%3D&__tn__=R-R,تطوان والو,Friday 8 September 2023 at 23:47,2,08 September 2023,23:47
Ikram Ikhalss,https://web.facebook.com/ikram.ikhalss.3?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTYxODIyODQ0MjAzODE5MA%3D%3D&__tn__=R-R,ياربي يلطف بينا تخلعت,Friday 8 September 2023 at 23:45,0,08 September 2023,23:45
Noor Elamar,https://web.facebook.com/profile.php?id=100076784846836&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjgxNTUwMTc0NTkyMzA1&__tn__=R-R,لاحول ولاقوة إلا بالله,Saturday 9 September 2023 at 20:35,17,09 September 2023,20:35
Abd Mar,https://web.facebook.com/abd.mar.775?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjAxNDgzMjU2MjIxNTY5MA%3D%3D&__tn__=R-R,يا ربي السلامة,Friday 8 September 2023 at 23:48,0,08 September 2023,23:48
Ikram Amraoui,https://web.facebook.com/zziii7?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNzE2MzQzODI2OTcyOTg0&__tn__=R-R,اشنو واقع؟,Friday 8 September 2023 at 23:51,0,08 September 2023,23:51
Nour Brair,https://web.facebook.com/profile.php?id=100089629775512&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzQ3NjU0NzIyOTI3Njk3NQ%3D%3D&__tn__=R-R,وازم وخريبكة ناري ميمكنش تحركات 3 مرات,Friday 8 September 2023 at 23:51,0,08 September 2023,23:51
Oum Adem,https://web.facebook.com/khadidja.hamdache56?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzIxOTE5MTEwMTk1NzYw&__tn__=R-R,ربي يجيب الخير نشالله,Friday 8 September 2023 at 23:53,0,08 September 2023,23:53
Roz Paris,https://web.facebook.com/profile.php?id=100037771506034&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjc4NjEwNjg3NDg0OTI1&__tn__=R-R,وين مكان,Friday 8 September 2023 at 23:51,0,08 September 2023,23:51
Mariposa Layan,https://web.facebook.com/profile.php?id=100089557359969&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfNjIwNTU4NjAwMjMwMDgx&__tn__=R-R,شنو واقع,Friday 8 September 2023 at 23:50,0,08 September 2023,23:50
Yasine Ait Ijja,https://web.facebook.com/ben.yassine.528316?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMjAyNDY0Njk5Nzg4NjE3Ng%3D%3D&__tn__=R-R,لطفك يارب,Friday 8 September 2023 at 23:43,0,08 September 2023,23:43
Hadija Aknjod,https://web.facebook.com/profile.php?id=100083982616770&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTQ3NjY1MDQ2MzE2NzI0OA%3D%3D&__tn__=R-R,سوس حنا,Friday 8 September 2023 at 23:39,0,08 September 2023,23:39
Talao Tzlal,https://web.facebook.com/profile.php?id=100073779919583&comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTQ5NDk2NzY2MTI3MDU3Nw%3D%3D&__tn__=R-R,سبحان الله,Friday 8 September 2023 at 23:53,0,08 September 2023,23:53
Mouhsine Bird,https://web.facebook.com/mohsine.pelo?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMTc0NzAxMTUyMzIyNDgx&__tn__=R-R,يا رب احفظ بلادنا وبلاد المسلمين من كل. سوء,Friday 8 September 2023 at 23:50,2,08 September 2023,23:50
Mohammed Loukili,https://web.facebook.com/mohammed.loukili.18?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfODQ3NTI1NzkzMjY4Mjk0&__tn__=R-R,اللهم نسالك اللطف وان تجنب بلدنا وبلاد المسلمين الكوارث,Saturday 9 September 2023 at 00:00,0,09 September 2023,00:00
Mastadi Younes,https://web.facebook.com/hajji.younes.39?comment_id=Y29tbWVudDo3MzY0NDU0NjQ5NTcyMDFfMzE3MDk2MjE0MTM3NzUz&__tn__=R-R,اللهم لا نسألك رد القضاء ولكن نسألك اللطف فيه,Friday 8 September 2023 at 23:44,2,08 September 2023,23:44
