author,user_profile_link,text,timestamp,likes,date,time
Zouhair El Mabrouky,https://www.facebook.com/zouhair.elmabrouky?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTczODczOTgwMzIyMzQxMA%3D%3D&__tn__=R*F,نعم إنه أمر الله حتى نحن في مكناس اللهم لطفك ياالله فوق الارض وتحت الارض,Friday 8 September 2023 at 23:42,3,08 September 2023,23:42
Khalid Khalid,https://www.facebook.com/khalid.virilite?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjc5NjczNjQ3NTQzODg3&__tn__=R*F,الحمد لله على كل حال,Friday 8 September 2023 at 23:29,2,08 September 2023,23:29
Loubna Hassan,https://www.facebook.com/loubna.hassan.96?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzE4ODQ3NjQ3MzcwMTk0&__tn__=R*F,اللهم احسن خاتمتنا يارب لطفك,Friday 8 September 2023 at 23:36,2,08 September 2023,23:36
Najat Ait-el,https://www.facebook.com/najat.aitel?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzEwMjE0MTYxNjg1MzQy&__tn__=R*F,لاحولة ولا قوة الا بالله اللهم اللطف,Friday 8 September 2023 at 23:34,2,08 September 2023,23:34
Youness Belgraoi,https://www.facebook.com/youness.chaqu?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjMyNTIzNTQ4OTkzNjM5&__tn__=R*F,الحمد لله داز خفيف هاد شي والله العظيم إلى بصح,Friday 8 September 2023 at 23:30,7,08 September 2023,23:30
Abdelkader Moussaoui,https://www.facebook.com/profile.php?id=100015748381684&comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjczMDM4MjI4ODU5NzY5&__tn__=R*F,اللهم أحفظهم وأنت خير الحافظين. ندعو الله السميع العليم أن لا تكون خسائر بشرية إن شاءالله.,Friday 8 September 2023 at 23:44,2,08 September 2023,23:44
Simo Ansimi,https://www.facebook.com/anssimi?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMzc0MjgwNDQ1MzU3MDU3&__tn__=R*F,ياربي سلامة الله يلطف بينا,Friday 8 September 2023 at 23:27,0,08 September 2023,23:27
Badr Din,https://www.facebook.com/badr.elatifi?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMjc1OTQzNDExOTYzNTUz&__tn__=R*F,والله تامريح الكرسي مشا وجا بيا الله يرحمنا يارب,Friday 8 September 2023 at 23:30,12,08 September 2023,23:30
Reem Balal,https://www.facebook.com/noor.ramiz.54?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfNjQ1MDg0MDg1NDk2NDM4NQ%3D%3D&__tn__=R*F,نسال الله السلامة,Friday 8 September 2023 at 23:27,6,08 September 2023,23:27
Chahd Ghizlane Chahd Ghizlane,https://www.facebook.com/chahdghizlane.chahdghizlane?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfOTc1NDUxMjMwMjE4NDAw&__tn__=R*F,نسأل الله السلامة,Friday 8 September 2023 at 23:27,2,08 September 2023,23:27
Ouma Oum,https://www.facebook.com/ouma.oum.581?comment_id=Y29tbWVudDo3MTE5NzU0ODQzMDM4MTlfMTA3NTY2MTgxMzU5NTA0NQ%3D%3D&__tn__=R*F,سطات نسأل الله السلامة,Friday 8 September 2023 at 23:32,2,08 September 2023,23:32
